 

stn    time           gre000z0  prestas0  ure200s0
THU    202405051530        121     945.0      58.7
THU    202405051540        146     945.0      62.3
THU    202405051550        176     944.8      65.6
THU    202405051600        120     944.7      64.8
THU    202405051610         85     944.5      65.1
THU    202405051620        123     944.5      68.0
THU    202405051630        159     944.4      68.5
THU    202405051640        122     944.4      63.9
THU    202405051650         95     944.4      62.9
THU    202405051700         92     944.4      67.9
THU    202405051710         73     944.4      67.9
THU    202405051720         74     944.3      65.7
THU    202405051730         82     944.3      70.9
THU    202405051740         79     944.2      69.6
THU    202405051750         61     944.2      75.3
THU    202405051800         43     944.2      80.5
THU    202405051810         29     944.2      81.5
THU    202405051820         17     944.1      87.6
THU    202405051830          4     944.3      94.5
THU    202405051840          1     944.1      91.2
THU    202405051850          0     944.2      92.3
THU    202405051900          0     944.3      94.3
THU    202405051910          0     944.3      95.5
THU    202405051920          0     944.3      98.8
THU    202405051930          0     944.3      99.2
THU    202405051940          0     944.2      99.2
THU    202405051950          0     944.3      99.2
THU    202405052000          0     944.2      99.2
THU    202405052010          0     944.2      99.3
THU    202405052020          0     944.1      99.3
THU    202405052030          0     944.2      99.3
THU    202405052040          0     944.3      99.2
THU    202405052050          0     944.7      98.9
THU    202405052100          0     944.7      99.2
THU    202405052110          0     944.5      99.2
THU    202405052120          0     944.5      98.7
THU    202405052130          0     944.5      99.2
THU    202405052140          0     944.5      99.0
THU    202405052150          0     944.4      98.5
THU    202405052200          0     944.4      99.0
THU    202405052210          0     944.4      99.3
THU    202405052220          0     944.4      99.3
THU    202405052230          0     944.6      98.3
THU    202405052240          0     944.7      97.3
THU    202405052250          0     945.0      99.1
THU    202405052300          0     944.6      99.3
THU    202405052310          0     944.1      98.4
THU    202405052320          0     944.3      96.3
THU    202405052330          0     944.2      97.9
THU    202405052340          0     944.1      91.9
THU    202405052350          0     943.9      86.9
THU    202405060000          0     943.9      85.0
THU    202405060010          0     943.8      85.1
THU    202405060020          0     943.8      86.2
THU    202405060030          0     943.9      91.8
THU    202405060040          0     943.8      94.8
THU    202405060050          0     943.8      95.9
THU    202405060100          0     943.9      96.8
THU    202405060110          0     943.9      98.8
THU    202405060120          0     943.9      99.2
THU    202405060130          0     943.8      99.2
THU    202405060140          0     943.7      99.3
THU    202405060150          0     943.8      99.3
THU    202405060200          0     943.7      99.3
THU    202405060210          0     943.7      99.3
THU    202405060220          0     943.7      99.3
THU    202405060230          0     943.7      99.3
THU    202405060240          0     943.7      99.3
THU    202405060250          0     943.7      99.3
THU    202405060300          0     943.7      99.3
THU    202405060310          0     943.8      99.3
THU    202405060320          0     943.7      99.3
THU    202405060330          0     943.7      99.3
THU    202405060340          0     943.6      99.3
