 

stn    time           tre200s0  tpo200s0
THU    202405050300        9.8      14.1
THU    202405050310        9.7      14.1
THU    202405050320        9.7      14.1
THU    202405050330        9.8      14.2
THU    202405050340       10.0      14.4
THU    202405050350       10.0      14.4
THU    202405050400       10.4      14.8
THU    202405050410       10.5      14.9
THU    202405050420       10.4      14.8
THU    202405050430       10.3      14.7
THU    202405050440       10.3      14.7
THU    202405050450       10.3      14.6
THU    202405050500       10.2      14.5
THU    202405050510       10.3      14.6
THU    202405050520       10.4      14.7
THU    202405050530       10.4      14.7
THU    202405050540       10.4      14.7
THU    202405050550       10.4      14.7
THU    202405050600       10.6      14.9
THU    202405050610       10.6      14.9
THU    202405050620       10.6      14.9
THU    202405050630       10.7      15.0
THU    202405050640       10.9      15.2
THU    202405050650       10.9      15.2
THU    202405050700       10.8      15.1
THU    202405050710       10.9      15.2
THU    202405050720       11.0      15.3
THU    202405050730       11.1      15.4
THU    202405050740       11.4      15.7
THU    202405050750       11.5      15.8
THU    202405050800       11.6      15.9
THU    202405050810       11.8      16.1
THU    202405050820       11.9      16.2
THU    202405050830       12.2      16.5
THU    202405050840       12.4      16.7
THU    202405050850       12.5      16.8
THU    202405050900       12.4      16.7
THU    202405050910       12.8      17.1
THU    202405050920       13.1      17.4
THU    202405050930       13.5      17.8
THU    202405050940       13.7      18.1
THU    202405050950       13.7      18.1
THU    202405051000       13.8      18.2
THU    202405051010       14.0      18.4
THU    202405051020       14.3      18.7
THU    202405051030       14.3      18.7
THU    202405051040       14.3      18.7
THU    202405051050       14.2      18.6
THU    202405051100       14.9      19.3
THU    202405051110       15.3      19.7
THU    202405051120       15.6      20.0
THU    202405051130       15.9      20.3
THU    202405051140       16.3      20.8
THU    202405051150       16.5      21.0
THU    202405051200       16.9      21.4
THU    202405051210       16.9      21.4
THU    202405051220       17.3      21.8
THU    202405051230       17.6      22.1
THU    202405051240       17.3      21.8
THU    202405051250       17.3      21.8
THU    202405051300       17.2      21.8
THU    202405051310       17.5      22.1
THU    202405051320       17.8      22.4
THU    202405051330       17.8      22.4
THU    202405051340       17.9      22.5
THU    202405051350       18.0      22.6
THU    202405051400       18.1      22.7
THU    202405051410       18.1      22.7
THU    202405051420       18.1      22.7
THU    202405051430       18.4      23.1
THU    202405051440       18.1      22.8
THU    202405051450       18.7      23.4
THU    202405051500       18.8      23.5
THU    202405051510       18.6      23.3
THU    202405051520       18.3      23.0
THU    202405051530       18.3      23.1
THU    202405051540       18.2      22.9
THU    202405051550       18.3      23.1
THU    202405051600       18.3      23.1
THU    202405051610       18.2      23.0
THU    202405051620       18.1      22.9
THU    202405051630       17.9      22.7
THU    202405051640       17.8      22.6
THU    202405051650       17.9      22.7
THU    202405051700       17.6      22.4
THU    202405051710       17.5      22.3
THU    202405051720       17.6      22.4
THU    202405051730       17.3      22.1
THU    202405051740       17.4      22.2
THU    202405051750       17.0      21.8
THU    202405051800       16.8      21.6
THU    202405051810       16.6      21.4
THU    202405051820       16.0      20.8
THU    202405051830       14.6      19.4
THU    202405051840       15.2      20.0
THU    202405051850       15.1      19.9
THU    202405051900       14.7      19.5
THU    202405051910       14.4      19.1
THU    202405051920       13.8      18.5
THU    202405051930       13.2      17.9
THU    202405051940       13.3      18.0
THU    202405051950       13.3      18.0
THU    202405052000       12.6      17.3
THU    202405052010       11.9      16.6
THU    202405052020       11.4      16.1
THU    202405052030       12.2      16.9
THU    202405052040       12.4      17.1
THU    202405052050       12.4      17.1
THU    202405052100       12.6      17.3
THU    202405052110       13.2      17.9
THU    202405052120       13.1      17.8
THU    202405052130       12.8      17.5
THU    202405052140       12.9      17.6
THU    202405052150       13.1      17.8
THU    202405052200       12.2      16.9
THU    202405052210       12.4      17.1
THU    202405052220       12.6      17.3
THU    202405052230       13.2      17.9
THU    202405052240       13.3      18.0
THU    202405052250       12.8      17.5
THU    202405052300       12.7      17.4
THU    202405052310       13.3      18.0
THU    202405052320       13.3      18.0
THU    202405052330       13.1      17.8
THU    202405052340       13.6      18.4
THU    202405052350       13.6      18.4
THU    202405060000       13.5      18.3
THU    202405060010       13.4      18.2
THU    202405060020       13.2      18.0
THU    202405060030       12.5      17.3
THU    202405060040       12.3      17.1
THU    202405060050       12.4      17.2
THU    202405060100       12.0      16.7
THU    202405060110       11.2      15.9
THU    202405060120       11.4      16.1
THU    202405060130       10.8      15.5
THU    202405060140       10.3      15.0
THU    202405060150       10.3      15.0
THU    202405060200       10.4      15.1
THU    202405060210        9.3      14.0
THU    202405060220        9.9      14.6
THU    202405060230       10.0      14.7
THU    202405060240       10.0      14.7
THU    202405060250       10.1      14.8
THU    202405060300        9.9      14.6
THU    202405060310        9.9      14.6
THU    202405060320       10.3      15.0
THU    202405060330       10.3      15.0
THU    202405060340       10.1      14.8
THU    202405060350       10.4      15.1
THU    202405060400       10.6      15.3
THU    202405060410       10.6      15.3
THU    202405060420       11.2      16.0
THU    202405060430       11.8      16.6
THU    202405060440       11.6      16.3
THU    202405060450       11.9      16.7
THU    202405060500       11.8      16.6
THU    202405060510       11.7      16.4
THU    202405060520       11.7      16.5
THU    202405060530       11.7      16.5
THU    202405060540       11.8      16.6
THU    202405060550       11.8      16.6
THU    202405060600       11.8      16.6
THU    202405060610       11.9      16.7
THU    202405060620       12.0      16.8
THU    202405060630       12.1      16.9
THU    202405060640       12.1      16.9
THU    202405060650       12.2      17.0
THU    202405060700       12.3      17.1
THU    202405060710       12.3      17.1
THU    202405060720       12.3      17.1
THU    202405060730       12.3      17.1
THU    202405060740       12.4      17.2
THU    202405060750       12.5      17.3
THU    202405060800       12.5      17.3
THU    202405060810       12.6      17.4
THU    202405060820       12.3      17.1
THU    202405060830       12.3      17.1
THU    202405060840       12.2      17.0
THU    202405060850       12.2      17.0
THU    202405060900       12.2      16.9
THU    202405060910       12.0      16.7
THU    202405060920       11.7      16.4
THU    202405060930       11.7      16.4
THU    202405060940       11.7      16.4
THU    202405060950       11.7      16.4
THU    202405061000       11.7      16.4
THU    202405061010       11.7      16.4
THU    202405061020       11.4      16.1
THU    202405061030       11.5      16.2
THU    202405061040       11.6      16.3
THU    202405061050       11.8      16.5
THU    202405061100       12.0      16.7
THU    202405061110       12.0      16.7
THU    202405061120       12.0      16.6
THU    202405061130       11.9      16.5
THU    202405061140       11.9      16.5
THU    202405061150       11.7      16.3
THU    202405061200       11.8      16.4
THU    202405061210       11.9      16.5
THU    202405061220       12.0      16.6
THU    202405061230       12.1      16.7
THU    202405061240       12.1      16.7
THU    202405061250       12.2      16.8
THU    202405061300       12.2      16.8
THU    202405061310       12.4      17.0
THU    202405061320       12.6      17.2
THU    202405061330       12.8      17.4
THU    202405061340       13.0      17.6
THU    202405061350       13.0      17.6
THU    202405061400       13.0      17.6
THU    202405061410       13.2      17.8
THU    202405061420       13.3      17.9
THU    202405061430       13.3      17.9
