Stationsnummer: 2030
Stationsname: Thun
DBLH-Nr: 00111
Gewässer: Aare
Exportperiode: 2024-05-01 - 2024-09-30
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: 10-Min-Mittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 16:10:00;;155.933;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 16:20:00;;155.906;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 16:30:00;;155.986;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 16:40:00;;155.906;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 16:50:00;;155.852;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 17:00:00;;155.825;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 17:10:00;;155.906;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 17:20:00;;155.852;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 17:30:00;;155.852;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 17:40:00;;155.825;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 17:50:00;;155.906;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 18:00:00;;155.959;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 18:10:00;;155.986;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 18:20:00;;155.852;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 18:30:00;;155.852;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 18:40:00;;155.771;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 18:50:00;;155.771;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 19:00:00;;155.852;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 19:10:00;;155.798;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 19:20:00;;155.771;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 19:30:00;;155.717;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 19:40:00;;155.852;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 19:50:00;;155.771;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 20:00:00;;155.879;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 20:10:00;;155.798;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 20:20:00;;155.771;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 20:30:00;;155.906;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 20:40:00;;155.637;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 20:50:00;;155.798;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 21:00:00;;155.717;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 21:10:00;;155.744;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 21:20:00;;155.691;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 21:30:00;;155.664;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 21:40:00;;155.583;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 21:50:00;;155.502;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 22:00:00;;155.529;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 22:10:00;;155.691;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 22:20:00;;155.825;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 22:30:00;;155.717;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 22:40:00;;155.637;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 22:50:00;;155.610;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 23:00:00;;155.717;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 23:10:00;;155.664;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 23:20:00;;155.691;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 23:30:00;;155.664;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 23:40:00;;155.610;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 23:50:00;;155.664;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 00:00:00;;155.583;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 00:10:00;;155.637;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 00:20:00;;155.529;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 00:30:00;;155.744;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 00:40:00;;155.717;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 00:50:00;;155.637;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 01:00:00;;155.664;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 01:10:00;;155.744;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 01:20:00;;155.691;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 01:30:00;;155.583;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 01:40:00;;155.664;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 01:50:00;;155.529;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 02:00:00;;155.449;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 02:10:00;;155.449;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-02 02:20:00;;155.610;Freigegeben, geprüfte Daten
