hour,Log_NR,T_mean,H_mean,UHI_mean,HI_mean
10,Log_436,16.66293291043204,68.94305301422278,-0.07906280110798011,16.187429672447013
10,Log_437,16.47843630433234,69.16515045943567,-0.09369193690108563,15.991385819521179
10,Log_438,16.772967378739125,69.54275899258171,-0.08033266209050186,16.32328243512974
11,Log_401,18.027852530431893,67.52195324057834,0,17.66826331360947
11,Log_402,18.226355664024027,68.53664697139264,0.19850313359213473,17.925559171597634
11,Log_403,17.41837678975611,72.55410952480862,-2.2194738498512248,17.110295833333332
11,Log_404,17.28711838150593,65.57065451987079,-0.2217823143092084,16.79234899328859
11,Log_405,17.5800152353645,69.52281186808871,-0.3747909220557424,17.223929263565893
11,Log_406,17.90960962779224,64.7631921045799,-0.06720967160056915,17.46100096899225
11,Log_407,17.57578876723072,66.17138727870721,-0.4110854674770903,17.12793023255814
11,Log_408,18.054361142462263,65.63406731567204,0.15832469182117953,17.64456704980843
11,Log_409,17.736246434301403,75.04579234300817,-0.7019222469299571,17.53669304556355
11,Log_410,16.37960510445153,72.07004115231783,-1.6073401839419412,15.955054913294799
11,Log_411,17.678703133480894,65.91519816144242,-0.10512668524535357,17.245295580110497
11,Log_412,17.993503911591574,64.20373422989869,-0.6920410601911897,17.527043803418803
11,Log_413,16.95317339601361,67.05302624699625,-1.0288179193887241,16.45553585271318
11,Log_414,18.116249486346522,66.25688128347113,-0.22229872647400126,17.725668859649122
11,Log_416,17.902376193441814,66.7271076967571,-0.09713903935979933,17.50253488372093
11,Log_417,14.683441599726791,74.21307160996695,-2.279251908286012,14.145132653061225
11,Log_418,17.263760066962266,70.68433024131137,-0.7035992556486593,16.90030523255814
11,Log_420,18.10436090129956,65.84848387312124,-0.056879673075455967,17.705919791666666
11,Log_421,17.860319808103014,67.82376173480884,-0.13466384028649636,17.48868410852713
11,Log_422,16.667047164071654,71.14450165825238,-1.3608053663602373,16.247013806706114
11,Log_423,17.412907645290503,67.64000342212567,-0.6054869959224504,16.979884015594543
11,Log_424,17.658144347685685,69.84084622070105,-0.29376066269300044,17.315675387596897
11,Log_425,17.51334813364844,70.82242921756323,-0.600768287071817,17.179304703476483
11,Log_426,16.17087237383243,67.95954771740745,-1.8532644872517436,15.624081740976646
11,Log_427,18.354635545103275,63.631265215334395,0.3604962690465841,17.92734307992203
11,Log_428,18.115881921193658,63.95716125710683,0.13744458008019472,17.66769573643411
11,Log_429,18.2126616761385,65.47494119657938,0.22153880163106016,17.81933527131783
11,Log_430,17.63880861542818,69.43453745755248,-0.32864499124129093,17.285813840155946
11,Log_431,18.31690913587489,64.52924287992262,0.1974484244260154,17.91426746506986
11,Log_432,17.904676231438305,66.11970507344094,-0.19465103778617313,17.49292871485944
11,Log_433,18.36949968359969,64.63724405608738,0.3244556772906839,17.978503921568628
11,Log_434,18.048211429801015,67.25010177190431,-0.8752025823539773,17.667174940898345
11,Log_435,17.737358232076456,76.08485015277188,-0.41042594785616243,17.57304658385093
11,Log_436,18.135395447548728,64.57337116188926,0.17550064715407937,17.709378612716762
11,Log_437,17.497597792977786,66.22404494470432,-0.2860849157044378,17.04428729281768
11,Log_438,18.21028946151338,65.2693930061598,0.15615138953431493,17.80964770459082
12,Log_401,18.986424342413656,64.615562430392,0,18.67582051282051
12,Log_402,19.338206589399434,65.0023461874792,0.3517822469857791,19.0823708086785
12,Log_403,18.73191089802021,68.0165051753516,-1.9827385696669042,18.451594736842104
12,Log_404,18.104721973685123,62.76661400322421,-0.21154211490043526,17.63117316017316
12,Log_405,18.58906142020921,66.1580060692098,-0.28444255813439073,18.267173410404624
12,Log_406,19.06979153603687,61.21252401030481,0.22414801145274338,18.661827586206897
12,Log_407,18.778932332743672,62.47090664908922,-0.11215820818879535,18.376261627906977
12,Log_408,19.228847943846798,62.04740814613783,0.38428494176817146,18.866257142857144
12,Log_409,19.013745204275196,70.41136348018249,-0.3119653889370608,18.861406619385342
12,Log_410,17.992639102228537,66.89869835986096,-0.9192298379576651,17.616180154142583
12,Log_411,18.911649279671597,62.40041226055384,0.20089392060402825,18.525927255985266
12,Log_412,19.462054611202376,59.86713818332009,-0.0012613950578190905,19.056600210970466
12,Log_413,17.942816340424685,63.75983830552362,-0.929386750594297,17.46566570881226
12,Log_414,19.15067892866016,63.04051523000367,-0.09938886883696925,18.8026452991453
12,Log_416,19.05843373681026,62.949656612863826,0.1730723530432075,18.70634011627907
12,Log_417,16.279887857748925,70.7543612480955,-2.2729638742656597,15.812557575757575
12,Log_418,17.70685654887672,69.01400342343065,-1.1802686212360138,17.349844894026976
12,Log_420,19.50862202290125,61.79135234671041,0.43304347152285017,19.18198125
12,Log_421,18.848266274024557,64.39838470683532,-0.028426756469170988,18.507557471264366
12,Log_422,17.6813131080566,68.08684629424721,-1.3051112343570572,17.289605522682447
12,Log_423,18.89011881867108,62.867570654094635,0.021108181166976065,18.509418582375478
12,Log_424,18.63386777180571,66.81617855335703,-0.20503161356331429,18.360739463601533
12,Log_425,18.692917567112783,67.03954801466551,-0.3709656035434632,18.411323108384458
